Lib,NbVersions,Metric,Count
jhy_jsoup,19,AUC,164
jhy_jsoup,19,ABC,1
jhy_jsoup,19,AUM,777
jhy_jsoup,19,ABM,22
jhy_jsoup,19,UTABC,1
jhy_jsoup,19,UTABM,31
jhy_jsoup,19,BTAUC,2
jhy_jsoup,19,BTAUM,20
jhy_jsoup,19,OCSC,73
jhy_jsoup,19,OCSM,712
alibaba_fastjson,15,AUC,192
alibaba_fastjson,15,ABC,2
alibaba_fastjson,15,AUM,1574
alibaba_fastjson,15,ABM,27
alibaba_fastjson,15,UTABC,6
alibaba_fastjson,15,UTABM,1
alibaba_fastjson,15,BTAUC,13
alibaba_fastjson,15,BTAUM,21
alibaba_fastjson,15,OCSC,41
alibaba_fastjson,15,OCSM,378
apache_commons-codec,7,AUC,29
apache_commons-codec,7,ABC,0
apache_commons-codec,7,AUM,265
apache_commons-codec,7,ABM,0
apache_commons-codec,7,UTABC,3
apache_commons-codec,7,UTABM,1
apache_commons-codec,7,BTAUC,0
apache_commons-codec,7,BTAUM,0
apache_commons-codec,7,OCSC,39
apache_commons-codec,7,OCSM,268
jettison-json_jettison,7,AUC,36
jettison-json_jettison,7,ABC,2
jettison-json_jettison,7,AUM,296
jettison-json_jettison,7,ABM,70
jettison-json_jettison,7,UTABC,0
jettison-json_jettison,7,UTABM,15
jettison-json_jettison,7,BTAUC,0
jettison-json_jettison,7,BTAUM,1
jettison-json_jettison,7,OCSC,2
jettison-json_jettison,7,OCSM,64
mybatis_mybatis-3,9,AUC,325
mybatis_mybatis-3,9,ABC,662
mybatis_mybatis-3,9,AUM,1765
mybatis_mybatis-3,9,ABM,114
mybatis_mybatis-3,9,UTABC,5
mybatis_mybatis-3,9,UTABM,22
mybatis_mybatis-3,9,BTAUC,71
mybatis_mybatis-3,9,BTAUM,8
mybatis_mybatis-3,9,OCSC,30
mybatis_mybatis-3,9,OCSM,355
