Project,Commit,Version,NbDependencies,BloatedDirect,BloatedTransitive,UsedDirect,UsedTransitive
codeforkjeff/conciliator,dcac9385863e49cac73f485717c7622f0545f5df,2.2.0,33,1,19,2,11
codeforkjeff/conciliator,710d65c59aa7c4e60359c6a3d57c24bf6f7a2f78,1.0.3,33,1,20,2,10
codeforkjeff/conciliator,63e4e83b07fff934eb84772b1be603830aa593a8,1.5.2,36,1,24,2,9
codeforkjeff/conciliator,823c3ed106c54b21be1f31524e0c35227b9b4faa,2.1.1,33,1,20,2,10
codeforkjeff/conciliator,7cd930fa6cda0c0d27217b5b19fbdee484fea6a6,2.3.0,33,1,19,2,11
codeforkjeff/conciliator,5fac71c48e046d64b0aecba8c0e87c032cc5d266,1.2,36,1,24,2,9
codeforkjeff/conciliator,0ef7950083ee4f69a74dbd612c7feb9563198b05,null,57,4,30,4,19
codeforkjeff/conciliator,683fa8804caa5f6348ee6ab4b29a79b4d1769b4d,2.5.0,33,1,19,2,11
codeforkjeff/conciliator,2144bcf3cb2d36a95e34656a06901f6a992149e0,1.1,36,1,24,2,9
codeforkjeff/conciliator,a60a396dd5b8b556c437b11cecd15e12d6984859,2.0.0,33,1,20,2,10
codeforkjeff/conciliator,a6d95be3198318abc7595db7c81e0c680bbf46bf,2.1.2,33,1,20,2,10
codeforkjeff/conciliator,4603c85021c3bb0cf6175c985e01589a4266cff9,3.0.1,53,3,28,4,18
codeforkjeff/conciliator,f270fd5c08cffb9ad27c3c1105aa3bd891e97508,3.0.5,57,4,30,4,19
codeforkjeff/conciliator,075865a066affbed3ca77f20518df07fc8be5e35,2.1.0,33,1,20,2,10
codeforkjeff/conciliator,59af6fb046f706c7ddcf564cc6c542b4b40ddce2,1.5,36,1,24,2,9
codeforkjeff/conciliator,699fb985cc412d82c667e322ece7209861e5f179,2.4.0,33,1,19,2,11
codeforkjeff/conciliator,420988d979b82aa56e589f67d7dfd8f6254cdd1a,3.0.4,53,3,28,4,18
codeforkjeff/conciliator,afd54ed51810a28cf57d9157c8706df6b78d3e49,1.0.2,36,1,23,2,10
codeforkjeff/conciliator,098918b006ced488a2e73aa8c82b4d9899f0db49,1.4.3,36,1,24,2,9
codeforkjeff/conciliator,bbf5e5f2d48e2df638630f9426940931fa66aa06,1.0,36,1,24,2,9
codeforkjeff/conciliator,c56c40dd2f5985b743a490a78051ac580e546c05,1.4.1,36,1,24,2,9
codeforkjeff/conciliator,9ad139fc94976719ecdc3e1ea2cefb642bbddf67,3.0.0-alpha,53,3,28,4,18
codeforkjeff/conciliator,69c59d49189bf668dc340aca9820c2af738acf9b,3.0.2,53,3,28,4,18
codeforkjeff/conciliator,26e57597eb871e40e4ab9bc70e4d83cb9d2386a6,1.5.1,36,1,24,2,9
codeforkjeff/conciliator,af3db7c6107d1e84c437a54218d0b4062254112e,1.4,36,1,24,2,9
codeforkjeff/conciliator,9e4d6eec3435c762f0b751ebdaa6f5452a1bacd1,1.3,36,1,24,2,9
codeforkjeff/conciliator,ae5a037efae00633981b5bbb5c630b4a652acd69,3.0.3,53,3,28,4,18
codeforkjeff/conciliator,4921ed46b6e2bdcc71a9dd7937ab0f9cfa88e206,1.4.2,36,1,24,2,9
codeforkjeff/conciliator,c7909ca344cebc5eaa33d65e8cad02d728ac1b85,1.0.1,36,1,23,2,10
codeforkjeff/conciliator,7de1d3fbeffb17a980b37d2233d39a5a1f36a6ea,1.0.0,36,1,23,2,10
codeforkjeff/conciliator,bbdcfc850bea3317c7837c23ce8dadd553d2737b,3.0,53,3,28,4,18
thrau/jarchivelib,d177fb811b6178e44b4c55290a4f25fca0ab32a3,0.8.0,4,1,0,2,1
thrau/jarchivelib,e5c32f364195734ca04db9b94fa0430526a9391c,0.5.0,4,0,2,2,0
thrau/jarchivelib,e969ea59fbbd1cfde2b217ef23c33e9a46106ccf,0.4.0,5,0,2,2,1
thrau/jarchivelib,b98db85ea465dffb517e9749a593c8fe36a50e1e,0.2.1,5,0,2,2,1
thrau/jarchivelib,cc486d47c93bcd5bd2ae474dffd2e49fab188188,null,4,1,0,2,1
thrau/jarchivelib,f93d69eb3111fce38322122592e81732a0468172,0.1.0,5,0,2,2,1
thrau/jarchivelib,20737bf69f8d9b48071a0eeeb9844e2f720c3da2,0.6.0,4,0,2,2,0
thrau/jarchivelib,0e74ce05d4a65038744a8d2a743c8c45605f5a19,0.2.2,5,0,2,2,1
thrau/jarchivelib,2e42a0f2c69b4d9652e7d489021ff08b2f16f253,1.1.0,4,1,0,2,1
thrau/jarchivelib,f13e106af37d94dd7e2ff2b636eda3eb29397c17,0.7.0,4,1,1,2,0
thrau/jarchivelib,928e695533c95b28af4be8fe8f3c8d2833916817,0.2.0,5,0,2,2,1
thrau/jarchivelib,13949a5ff6b9c250e845e69aeb8cc4bfb30ba7f4,1.0.0,4,1,0,2,1
thrau/jarchivelib,bae8823cd58e07c838277dcc68bb7984a06e1d1c,0.3.0,5,0,2,2,1
jefalbino/jsmart-web,075c3112b83d10fd4a61351394f979485b5a3801,0.0.3,24,3,11,8,2
jefalbino/jsmart-web,8594504510dffb8184a978e0af5336a56831260f,1.0.0,24,3,11,8,2
damianszczepanik/silencio,33722b1d71bd9760e0ffe2bd4c674ab7720c66c3,1.0.0,11,1,3,3,4
conveyal/osm-lib,8eda1f9b7dc089729d85e059cdfaf51ae32ace2d,null,21,1,8,10,2
conveyal/osm-lib,2c87b0ea2a5bd2bfab2c735ec6cd1d0bdabdd22a,null,21,1,8,10,2
snowflakedb/snowflake-ingest-java,93a9944471e0a8bafb7580ed4a2c8b94fdee7ca9,0.9.8,22,3,8,7,4
snowflakedb/snowflake-ingest-java,fda051431f7615989bb0345c26c330ff0f0d1633,0.9.6,20,2,8,8,2
snowflakedb/snowflake-ingest-java,8a4022f25841c7c1104c7172bbd3bf2f17c82351,0.9.12,22,3,8,8,3
snowflakedb/snowflake-ingest-java,2c48b74de342a10e90f962a1c383946a33762537,0.9.9,22,3,8,7,4
snowflakedb/snowflake-ingest-java,5ac61dc2eb9e75b2c5655889db3412b872326789,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,fb0edfb36bd4224fc3fe06004d12b67ec3c171d1,0.9.0,15,2,4,7,2
snowflakedb/snowflake-ingest-java,d15cb4b2663deadaa776620b94c4fbe9d31db2bb,0.9.2,16,2,4,8,2
snowflakedb/snowflake-ingest-java,a873b135b5432b2543a73c913cb5ba5c1749d7d5,0.9.11,22,3,8,8,3
snowflakedb/snowflake-ingest-java,d5f38ad60b90d9b2451877d8f550774c3c96242b,0.9.7,22,3,8,7,4
snowflakedb/snowflake-ingest-java,dcbd81865944acde5a0bcbe414353cb8783717c9,0.9.1,15,2,4,7,2
snowflakedb/snowflake-ingest-java,d75eb17d65112df16daf7d9250915dafa87035e6,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,5c5805b75543b71cde912b49eaf7afa9aea69b21,0.1,15,3,4,5,3
snowflakedb/snowflake-ingest-java,d1a94c3717bd8603eafc1ea1da3e8b045056b5b0,0.9.10,22,3,8,7,4
snowflakedb/snowflake-ingest-java,4db0b271db81c59a1e1f433e92f1b14c9e24d7ba,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,18d25756b8275c4db7bc7aaad1a6f3a8b20027a5,null,22,3,8,7,4
snowflakedb/snowflake-ingest-java,42516f7f6d80255e4caf8e76632d707687073bea,0.9.4,16,2,4,8,2
snowflakedb/snowflake-ingest-java,12c93e2a5aeb523021dfe2c39ae3428de6f99401,0.9.5,16,2,4,8,2
snowflakedb/snowflake-ingest-java,54558d12b19670c64c218742194e1843c416aa5b,0.9.3,16,2,4,8,2
NLPchina/nlp-lang,fd7b6a9b4557c28cec84d0b83f6792780de2d2a0,1.7.2,6,0,1,5,0
NLPchina/nlp-lang,135834b1a23f7f510d9cf292ce4a1e0d911f5812,1.7.3,6,0,1,5,0
NLPchina/nlp-lang,8669d93e8244e0f302f7d156baed175221adfcc1,0.2,2,0,1,1,0
NLPchina/nlp-lang,ef25b2cbf08385674a05fdfad1c8ced66e3a17a3,1.2,2,0,1,1,0
NLPchina/nlp-lang,34c4f0f217d1bc5ab6874746bbc556f9f4b50e72,1.7.7,6,0,1,5,0
NLPchina/nlp-lang,5e31875509ce7614e7e099a2578e72c9bb4a9fca,null,6,0,1,5,0
NLPchina/nlp-lang,13b4e13dae958a4ddbc032bb02d617bcd5d18be0,1.3,2,0,1,1,0
NLPchina/nlp-lang,4bd5719c132d43fbb78f93642b0488b66ecd0a0f,1.0.2,3,0,1,2,0
NLPchina/nlp-lang,8394dcea15322965d095d1a5c314967631da4dab,1.0,3,0,1,2,0
NLPchina/nlp-lang,e4a6df0fc9827d9d016bd29056cddb5937a85792,1.7,6,0,1,5,0
NLPchina/nlp-lang,f0fb94b47c29969403011456ebf305ee7fab074c,1.7.1,6,0,1,5,0
NLPchina/nlp-lang,f7b036c8ddd41fecc27fe93eb8ae85955ad8f5c7,1.1,2,0,1,1,0
NLPchina/nlp-lang,c9b3f601fc93cda964dcce550ae097e6b6732a08,0.3,2,0,1,1,0
NLPchina/nlp-lang,025b9ec29d467de322d36c1f1185f3f8d5782214,1.7.8,6,0,1,5,0
NLPchina/nlp-lang,0f48bc16a9be33151f2849b28903a663bda32e06,1.6,6,0,1,5,0
NLPchina/nlp-lang,cb093b378d5d496bf5cbb39a423104be6ec99c80,1.7.6,6,0,1,5,0
trustin/os-maven-plugin,588db3681c0063155e2ad538f58f76fc07dd6d55,1.3.0.Final,47,2,32,3,10
trustin/os-maven-plugin,6f4cf50d2cf5e305bd9c501bef0cd83222614713,1.4.0.Final,47,2,31,3,11
trustin/os-maven-plugin,8c0285c50fc6fde10dda6ebb9e48e54d56729e40,1.6.1,51,2,33,4,12
trustin/os-maven-plugin,cd545710ca66edb1b96ca9506608e7894f31ab5e,1.6.0,51,2,33,4,12
trustin/os-maven-plugin,c4ae162b549886ab612fe28e971da70fd55cbd98,1.5.0.Final,47,2,31,3,11
trustin/os-maven-plugin,6928146cf3f892a4adb70e19efe16293cb24a072,1.4.1.Final,47,2,31,3,11
trustin/os-maven-plugin,3d168a9d9731953d8a9002a73bd4657f2164648a,1.6.2,51,2,33,4,12
trustin/os-maven-plugin,0d76872630d847db25d16bca8936f7c36fcc2170,null,51,2,33,4,12
NationalSecurityAgency/emissary,5ce190e4899c58097c45a60c44d1c6817a46407a,5.3.0,169,14,104,32,19
NationalSecurityAgency/emissary,5edf9717ac66548ac161b4ae3657235c87aec62a,5.9.0,177,20,103,31,23
NationalSecurityAgency/emissary,9a6af2932dfd27a0443a4123d6283169a3647ed4,5.4.1,169,14,104,32,19
NationalSecurityAgency/emissary,21e1b08092bff701e557cf8caf4eeb4788f216d1,5.5.0,169,14,104,32,19
NationalSecurityAgency/emissary,7d87b0a89ae1e95b24c314a4201e1e721834286d,5.6.0,166,14,99,32,21
NationalSecurityAgency/emissary,5992ccf4fb920ccfeced1e00c76f6d47e29a2a64,5.8.0,177,20,103,31,23
NationalSecurityAgency/emissary,7a9006d1a99eda95b579d378f921a77a05255198,null,177,20,103,31,23
NationalSecurityAgency/emissary,48d1d04277e19635441a31006eb052a690afd7eb,5.10.0,182,20,109,31,22
NationalSecurityAgency/emissary,8ccf26e0edda48f17110ca9db36b57778c8445b8,5.2.0,164,14,99,32,19
NationalSecurityAgency/emissary,a92917bb379872206bf8cff09589c825c3e1da12,5.7.0,166,14,98,32,22
NationalSecurityAgency/emissary,59bfa91cea5c1d3d1313b66d2c711160e5f75de5,null,177,20,103,31,23
NationalSecurityAgency/emissary,92733d81ddc4bd1d10ca535a648a4c1c951f9b95,5.4.0,169,14,104,32,19
vert-x3/vertx-zookeeper,37fc0b00159c9c9d8b2070cb4262b176e83f3ebd,3.3.3,34,3,11,5,15
vert-x3/vertx-zookeeper,94bed483a07212115d4d2cb4b7b78d5ab8040a1d,3.6.0,41,5,16,6,14
vert-x3/vertx-zookeeper,2bb2df20b685602abc861e5bd82421ac749eb40d,4.0.0-milestone4,39,5,15,6,13
vert-x3/vertx-zookeeper,c6da5d879fd601c39f3c905236e9cafa6e62755c,3.4.1,36,3,13,5,15
vert-x3/vertx-zookeeper,01a997dec11630adb59d40a66a631bdc66a813e5,3.6.0.CR2,41,5,16,6,14
